allocator,create,query,total
mem3_1mb,7483245,460115287,467606013
mem3_1mb,7447858,466634927,474090058
mem3_1mb,7469756,453214843,460692054
mem3_1mb,7259394,473747693,481044230
mem3_1mb,7152977,466866744,474027939
mem3_1mb,7240792,472266627,479516494
mem3_1mb,7159632,465606520,472773806
mem3_1mb,7187830,476606943,483803323
mem3_1mb,7126337,466360274,473494378
mem3_1mb,7135579,523890629,531034342
mem3_1mb,7178366,461749055,468934944
mem3_1mb,7141460,522928023,530077972
mem3_1mb,7142216,457547592,464697185
mem3_1mb,7134845,475050417,482192816
mem3_1mb,7144159,521445810,528597188
mem3_1mb,7133039,475728173,482869032
mem3_1mb,7144413,479338036,486489751
mem3_1mb,7133586,464131988,471273125
mem3_1mb,7187831,470003001,477198616
mem3_1mb,7189970,508535648,515733306
mem3_1mb,7168656,462445418,469621757
mem3_1mb,7119012,539515651,546642018
mem3_1mb,7134957,531488971,538631504
mem3_1mb,7139454,470297975,477445126
mem3_1mb,7131356,464907239,472046062
mem3_1mb,7138887,467134430,474280848
mem3_1mb,7131042,470267337,477406165
mem3_1mb,7138186,458630852,465776634
mem3_1mb,7125580,468259648,475392765
mem3_1mb,7152483,462598326,469758409
mem3_1mb,7148029,516540571,523696465
mem3_1mb,7139564,466598014,473745015
mem3_1mb,7144741,460729405,467882034
mem3_1mb,7090718,458959153,466089280
mem3_1mb,6987871,482672188,489668999
mem3_1mb,7007875,456383462,463401014
mem3_1mb,6974224,460448648,467431076
mem3_1mb,6968729,461932474,468910451
mem3_1mb,6970588,463176311,470154722
mem3_1mb,6964948,452971092,459944946
mem3_1mb,6972557,448092406,455072694
mem3_1mb,6983252,463878088,470870758
mem3_1mb,6969724,466461064,473438733
mem3_1mb,6997746,464447552,471454883
mem3_1mb,6978060,459645369,466630997
mem3_1mb,6993236,516204126,523205913
mem3_1mb,6994477,450720595,457722768
mem3_1mb,6970509,468118541,475098022
mem3_1mb,6982395,505174113,512164187
mem3_1mb,7041573,501670365,508721153
mem3_1mb,7048180,463043318,470099180
mem3_1mb,7007697,456327432,463343363
mem3_1mb,6980235,459921110,466909677
mem3_1mb,7034065,456667469,463709486
mem3_1mb,6970470,465483266,472461942
mem3_1mb,6977850,463192452,470179263
mem3_1mb,6971388,460094380,467073748
mem3_1mb,6994216,515170562,522173928
mem3_1mb,7027407,461405134,468440860
mem3_1mb,6993400,458886329,465887618
mem3_1mb,6977388,467715388,474700557
mem3_1mb,6993156,501883944,508886329
mem3_1mb,7009780,507453943,514471566
mem3_1mb,7072395,475007682,482116179
mem3_1mb,6981441,511783798,518773550
mem3_1mb,7032615,470008928,477050830
mem3_1mb,6980607,461609828,468598073
mem3_1mb,6996229,470153386,477158835
mem3_1mb,6964162,469708325,476680366
