Schema:	13566366976
Query:	118134806495
Schema:	13701000870
Query:	113427969913
Schema:	13763203803
Query:	104266138844
Schema:	13692967840
Query:	109116715841
Schema:	13543564790
Query:	106508979233
Schema:	13692565859
Query:	108613344672
Schema:	13637322207
Query:	110543296222
Schema:	13676661058
Query:	102873257388
Schema:	13746308511
Query:	102790551170
Schema:	13704258628
Query:	102249019859
Schema:	13727145987
Query:	104601656002
Schema:	13713857668
Query:	105570303088
Schema:	13717077699
Query:	104512123653
Schema:	13532100514
Query:	108199783121
Schema:	13659337706
Query:	111078983728
Schema:	13698778388
Query:	107886133042
Schema:	13840337790
Query:	111759266127
Schema:	13725183308
Query:	104775000941
Schema:	13740139833
Query:	102780719556
Schema:	13634969327
Query:	116194795471
Schema:	13601773896
Query:	102212422791
Schema:	13612418643
Query:	104569553633
Schema:	13621824018
Query:	102369835950
Schema:	13580096776
Query:	102908010539
Schema:	13666724740
Query:	109121430531
Schema:	13619750369
Query:	102578600427
Schema:	13630560583
Query:	110746997732
Schema:	13638368315
Query:	102695161784
Schema:	13649020640
Query:	102608803794
Schema:	13738284428
Query:	101687494229
Schema:	13733385466
Query:	108522909277
