allocator,num,total,percent
sys,1505,523000
hoard,1489,471000
jemalloc,938,475000
nedmalloc,940,472000
memsys3_32,1855,481000
memsys3_128,1824,464000
memsys5_32,2246,481000
memsys5_128,2304,508000
