Schema:		-175573606993413568.000000
Query:		-29059419969998816.000000
Setup:		-1054627857156.000000
Schema:		-175332693711181280.000000
Query:		-29019608208912992.000000
Setup:		-1053176868288.000000
Schema:		-175089018407713408.000000
Query:		-29134096079196992.000000
Setup:		-1056023956140.000000
Schema:		-176280150075339776.000000
Query:		-29176550403207968.000000
Setup:		-1058872437489.000000
Schema:		-176040243334470240.000000
Query:		-29136865017890752.000000
Setup:		-1057433593912.000000
Schema:		-175802256363420928.000000
Query:		-29097462804735680.000000
Setup:		-1056008195705.000000
Schema:		-175565853361959104.000000
Query:		-29058282630396832.000000
Setup:		-1054591533899.000000
Schema:		-176290519019588128.000000
Query:		-29256202329987840.000000
Setup:		-1057469460881.000000
Schema:		-176524184249659488.000000
Query:		-29216364489187168.000000
Setup:		-1060246878970.000000
Schema:		-176254096626236096.000000
Query:		-29172228083637408.000000
Setup:		-1058717183360.000000
Schema:		-176015175530749152.000000
Query:		-29132806273155456.000000
Setup:		-1057292794431.000000
Schema:		-175780668226831744.000000
Query:		-29306550181415232.000000
Setup:		-1060071279210.000000
Schema:		-176939445890048672.000000
Query:		-29285797966542752.000000
Setup:		-1062839963894.000000
Schema:		-176702621832246304.000000
Query:		-29246648098503488.000000
Setup:		-1061409994864.000000
Schema:		-176463690354074144.000000
Query:		-29206931827367104.000000
Setup:		-1059976045115.000000
Schema:		-176225431735947200.000000
Query:		-29182483859927968.000000
Setup:		-1062850502314.000000
Schema:		-177420888697346336.000000
Query:		-29365549620053952.000000
Setup:		-1065728340182.000000
Schema:		-177178864182553280.000000
Query:		-29324157044383904.000000
Setup:		-1064184725629.000000
Schema:		-176906857891212768.000000
Query:		-29279783703887424.000000
Setup:		-1062546644592.000000
Schema:		-176637402930888704.000000
Query:		-29235144616795744.000000
Setup:		-1060926696539.000000
Schema:		-177724201522479136.000000
Query:		-29428082314037056.000000
Setup:		-1063693458374.000000
Schema:		-177558574056386976.000000
Query:		-29388354069149856.000000
Setup:		-1066560757592.000000
Schema:		-177322515455692896.000000
Query:		-29349275662555680.000000
Setup:		-1065134379395.000000
Schema:		-177082049436226112.000000
Query:		-29309353413596832.000000
Setup:		-1063701733304.000000
Schema:		-176845696509980736.000000
Query:		-29503262494627520.000000
Setup:		-1066563402435.000000
Schema:		-178036189817751264.000000
Query:		-29467487781600480.000000
Setup:		-1069424804374.000000
Schema:		-177797506253119936.000000
Query:		-29427772479025824.000000
Setup:		-1067988432158.000000
Schema:		-177557953888650624.000000
Query:		-29388236748637248.000000
Setup:		-1066553404910.000000
Schema:		-177320215312472832.000000
Query:		-29365626263572992.000000
Setup:		-1069327471406.000000
Schema:		-178481362589270592.000000
Query:		-29541155699387488.000000
Setup:		-1072102851466.000000
Average:		-205961444347931200.000000
