Schema:		-187033377749805024.000000
Query:		-30928523984380864.000000
Setup:		-1122263216869.000000
Schema:		-187204444287681568.000000
Query:		-31067016320179264.000000
Setup:		-1123086113699.000000
Schema:		-187262247766517632.000000
Query:		-30987593846450496.000000
Setup:		-1128103662935.000000
Schema:		-188095346972662880.000000
Query:		-31105394735536128.000000
Setup:		-1128794113177.000000
Schema:		-187495184559713856.000000
Query:		-31076245460085952.000000
Setup:		-1129491712754.000000
Schema:		-188328256748086976.000000
Query:		-31143948777014336.000000
Setup:		-1130202068229.000000
Schema:		-187731703693916352.000000
Query:		-31184587867557792.000000
Setup:		-1130907857401.000000
Schema:		-188563288884853440.000000
Query:		-31181301325918240.000000
Setup:		-1131577544582.000000
Schema:		-187954450635462784.000000
Query:		-31303658845470944.000000
Setup:		-1132245763873.000000
Schema:		-188786067822367328.000000
Query:		-31218534705732992.000000
Setup:		-1132909934389.000000
Schema:		-189380308591175616.000000
Query:		-31353630115801152.000000
Setup:		-1133531070561.000000
Schema:		-188992197887580448.000000
Query:		-31295585955775424.000000
Setup:		-1138473600006.000000
Schema:		-189820299535685760.000000
Query:		-31391258127922336.000000
Setup:		-1139086079616.000000
Schema:		-189194595051823040.000000
Query:		-31407727570825856.000000
Setup:		-1139712411071.000000
Schema:		-190028688422264832.000000
Query:		-31423862382237056.000000
Setup:		-1140373722497.000000
Schema:		-189416135621628320.000000
Query:		-31523590127123456.000000
Setup:		-1141030494832.000000
Schema:		-190248449624349216.000000
Query:		-31460014100552160.000000
Setup:		-1141681222339.000000
Schema:		-190520014278226976.000000
Query:		-31597428057952544.000000
Setup:		-1142340967190.000000
Schema:		-190467596783554368.000000
Query:		-31527048105885632.000000
Setup:		-1147301918045.000000
Schema:		-191284234919632064.000000
Query:		-31634576694573952.000000
Setup:		-1147984218329.000000
Schema:		-190695077939249408.000000
Query:		-31621504329137728.000000
Setup:		-1148665178018.000000
Schema:		-191510521281661184.000000
Query:		-31671166585682368.000000
Setup:		-1149318893200.000000
Schema:		-190912694702644320.000000
Query:		-31735426802770496.000000
Setup:		-1150016958612.000000
Schema:		-191742945822135872.000000
Query:		-31707294046189856.000000
Setup:		-1150691872830.000000
Schema:		-191202929436441088.000000
Query:		-31845505684655616.000000
Setup:		-1151363553538.000000
Schema:		-191964939956579648.000000
Query:		-31749179961804512.000000
Setup:		-1156319297111.000000
Schema:		-192786406382238080.000000
Query:		-31879916597862240.000000
Setup:		-1156927275421.000000
Schema:		-192167578055822624.000000
Query:		-31837500731537760.000000
Setup:		-1157563775316.000000
Schema:		-192997769397573696.000000
Query:		-31917853226892672.000000
Setup:		-1158274403371.000000
Schema:		-192403791744226592.000000
Query:		-31940537425721888.000000
Setup:		-1159015185947.000000
Average:		-221331439876962624.000000
