Schema:		18030953.000000
Query:		16514138590.000000
Setup:		197485.000000
Schema:		16489818.000000
Query:		14952478159.000000
Setup:		25839.000000
Schema:		15756238.000000
Query:		16438295183.000000
Setup:		25263.000000
Schema:		16025287.000000
Query:		14096775573.000000
Setup:		30980.000000
Schema:		16120567.000000
Query:		14162061785.000000
Setup:		29306.000000
Schema:		16261410.000000
Query:		16410088843.000000
Setup:		25902.000000
Schema:		16108511.000000
Query:		15896129421.000000
Setup:		26182.000000
Schema:		15834214.000000
Query:		16508576106.000000
Setup:		24765.000000
Schema:		16110747.000000
Query:		16123699651.000000
Setup:		24937.000000
Schema:		16155390.000000
Query:		13432971166.000000
Setup:		25864.000000
Schema:		15964444.000000
Query:		16336064616.000000
Setup:		29505.000000
Schema:		16176963.000000
Query:		16357515098.000000
Setup:		30043.000000
Schema:		15943549.000000
Query:		16251058351.000000
Setup:		24998.000000
Schema:		16283083.000000
Query:		16348954748.000000
Setup:		25028.000000
Schema:		15932999.000000
Query:		14702665591.000000
Setup:		26457.000000
Schema:		15881475.000000
Query:		15301555270.000000
Setup:		27352.000000
Schema:		15877229.000000
Query:		16337225348.000000
Setup:		25211.000000
Schema:		15848364.000000
Query:		15669044951.000000
Setup:		26494.000000
Schema:		15792371.000000
Query:		16105160883.000000
Setup:		24908.000000
Schema:		15869565.000000
Query:		14346419961.000000
Setup:		24777.000000
Schema:		15885254.000000
Query:		16398373587.000000
Setup:		25142.000000
Schema:		16064151.000000
Query:		16367495307.000000
Setup:		25301.000000
Schema:		15793684.000000
Query:		16393676833.000000
Setup:		27152.000000
Schema:		16053589.000000
Query:		16361180907.000000
Setup:		28518.000000
Schema:		15783762.000000
Query:		15950965030.000000
Setup:		25364.000000
Schema:		16008877.000000
Query:		16275729100.000000
Setup:		25834.000000
Schema:		15843663.000000
Query:		15911927477.000000
Setup:		26921.000000
Schema:		16042915.000000
Query:		16358596581.000000
Setup:		26103.000000
Schema:		16477626.000000
Query:		16310894198.000000
Setup:		25817.000000
Schema:		16031433.000000
Query:		15338619497.000000
Setup:		26656.000000
