allocator,runtime
default,101.88575100898726
default,105.09347605705258
default,102.14932918548593
default,101.29619503021239
default,100.83999824523934
default,100.85611534118661
default,102.14993810653695
hoard,99.21185040473948
hoard,97.26702928543108
hoard,99.08956480026248
hoard,96.24206662178032
hoard,99.72758173942573
hoard,97.0678591728209
hoard,99.1981391906736
jemalloc,98.2934718132018
jemalloc,98.88806915283197
jemalloc,98.60410618782042
jemalloc,94.4366693496703
jemalloc,99.08835816383376
jemalloc,99.97323441505443
jemalloc,98.37716317176817
