allocator,objs,total_mem,in_use,average,ops
default_js,338318,468895914,22575270,1385,672582
hoard_js,343965,531153041,20729241,1544,684303
default_render,874356,310635605,4508869,355,1731177
hoard_render,855625,343245804,6495718,401,1690643
